county,date,deviation,label
Alameda,2018-03-01,0.32018365696064593,Red
Alpine,2018-03-01,0.23700352102126343,Red
Amador,2018-03-01,-0.15375068597507424,Green
Butte,2018-03-01,-0.02132060266710418,Green
Calaveras,2018-03-01,0.14343173101318768,Red
Colusa,2018-03-01,-0.25761404555570633,Green
Contra Costa,2018-03-01,-0.16158083858278863,Green
Del Norte,2018-03-01,0.15566668680613835,Yellow
El Dorado,2018-03-01,0.16369109900532275,Red
Fresno,2018-03-01,-0.01126995621885005,Green
Glenn,2018-03-01,-0.08156549783102061,Green
Humboldt,2018-03-01,0.2110058305672964,Red
Imperial,2018-03-01,-0.014691266844584841,Green
Inyo,2018-03-01,-0.185380927616701,Green
Kern,2018-03-01,0.008738046194639389,Green
Kings,2018-03-01,-0.02948507875431577,Green
Lake,2018-03-01,0.017220262029160563,Green
Lassen,2018-03-01,-0.045444114034027684,Green
Los Angeles,2018-03-01,-0.015429393586053008,Green
Madera,2018-03-01,-0.0845668078550046,Green
Marin,2018-03-01,-0.1479628437713481,Green
Mariposa,2018-03-01,-0.25908996092039066,Green
Mendocino,2018-03-01,-0.07390794490354849,Green
Merced,2018-03-01,-0.007722139396299669,Green
Modoc,2018-03-01,-0.017423505120976984,Green
Mono,2018-03-01,-0.25330752071644397,Green
Monterey,2018-03-01,-0.0002785961772202915,Green
Napa,2018-03-01,-0.18556794569358417,Green
Nevada,2018-03-01,0.2196007979516649,Red
Orange,2018-03-01,-0.009217612470956527,Green
Placer,2018-03-01,-0.3591216584161061,Green
Plumas,2018-03-01,0.07313870115771343,Green
Riverside,2018-03-01,-0.11890813188132109,Green
Sacramento,2018-03-01,0.13904628573324943,Yellow
San Benito,2018-03-01,-0.24583174672507185,Green
San Bernardino,2018-03-01,0.07911043063686009,Green
San Diego,2018-03-01,0.004951713838174571,Green
San Francisco,2018-03-01,0.5111458483517952,Red
San Joaquin,2018-03-01,-0.1234585736088045,Green
San Luis Obispo,2018-03-01,-0.22875125625551895,Green
San Mateo,2018-03-01,-0.3134371127060218,Green
Santa Barbara,2018-03-01,0.02983556961164132,Green
Santa Clara,2018-03-01,-0.3430050998899442,Green
Santa Cruz,2018-03-01,0.45602778388889237,Red
Shasta,2018-03-01,0.049986468318071166,Green
Sierra,2018-03-01,-0.18554318802327616,Green
Siskiyou,2018-03-01,0.026687430836432824,Green
Solano,2018-03-01,0.08932662923818897,Green
Sonoma,2018-03-01,-0.09400470799972516,Green
Stanislaus,2018-03-01,0.1439871967311127,Red
Sutter,2018-03-01,-0.04883703527542966,Green
Tehama,2018-03-01,0.12237609786705313,Yellow
