date,county,predicted_applications,lower_bound,upper_bound,Population,predicted_rate,flag
2026-03-01,Alameda,8437.87,7025.86,9849.88,1610046,0.005240763307383765,Green
2026-03-01,Alpine,10.94,10.03,11.86,1043,0.010488974113135187,Green
2026-03-01,Amador,169.19,131.96,206.42,42447,0.003985911843004217,Green
2026-03-01,Butte,1609.99,1428.65,1791.34,206778,0.007786079757034114,Green
2026-03-01,Calaveras,221.43,180.58,262.28,46583,0.004753450829701823,Green
2026-03-01,Colusa,101.5,81.95,121.06,22293,0.0045529986991432285,Green
2026-03-01,Contra Costa,4722.19,3712.73,5731.64,1151037,0.0041025527415712955,Green
2026-03-01,Del Norte,161.14,138.74,183.55,25543,0.0063085776925184975,Green
2026-03-01,El Dorado,761.45,593.89,929.02,191071,0.003985167817198843,Green
2026-03-01,Fresno,7434.58,6539.37,8329.8,1020768,0.007283320010031662,Green
2026-03-01,Glenn,145.93,121.67,170.19,27667,0.005274514764882351,Green
2026-03-01,Humboldt,1124.48,1008.66,1240.3,132067,0.008514466142185406,Green
2026-03-01,Imperial,1330.64,1173.4,1487.88,179291,0.007421677607911162,Green
2026-03-01,Inyo,92.59,76.71,108.46,18097,0.005116317621705255,Green
2026-03-01,Kern,7038.77,6242.49,7835.04,907958,0.007752307926137553,Green
2026-03-01,Kings,971.47,838.1,1104.83,152072,0.006388223999158294,Green
2026-03-01,Lake,508.83,449.82,567.85,67290,0.007561747659384752,Green
2026-03-01,Lassen,134.9,111.62,158.18,26543,0.005082319255547602,Green
2026-03-01,Los Angeles,60290.58,51914.79,68666.38,9550505,0.006312815919158202,Green
2026-03-01,Madera,999.31,852.04,1146.57,167916,0.005951249434240929,Green
2026-03-01,Marin,644.85,424.8,864.9,250913,0.002570014307748104,Green
2026-03-01,Mariposa,101.84,87.24,116.44,16651,0.006116149180229416,Green
2026-03-01,Mendocino,578.61,502.04,655.18,87310,0.006627075936318864,Green
2026-03-01,Merced,2090.97,1831.96,2349.99,295340,0.007079874043475316,Green
2026-03-01,Modoc,52.62,45.38,59.87,8262,0.0063689179375453885,Green
2026-03-01,Mono,45.21,33.64,56.79,13194,0.0034265575261482493,Green
2026-03-01,Monterey,2367.69,1993.73,2741.64,426401,0.005552730880087054,Green
2026-03-01,Napa,468.05,353.24,582.85,130908,0.003575411739542274,Green
2026-03-01,Nevada,520.11,431.26,608.96,101309,0.005133897284545302,Green
2026-03-01,Orange,14813.6,12089.18,17538.02,3106521,0.0047685497699838505,Green
2026-03-01,Placer,1336.67,955.58,1717.76,434535,0.003076092834869458,Green
2026-03-01,Plumas,90.82,74.59,107.05,18507,0.004907332360728373,Green
2026-03-01,Riverside,15916.42,13698.62,18134.22,2528844,0.006293950911958191,Green
2026-03-01,Sacramento,10002.32,8613.06,11391.57,1584104,0.0063141813921308194,Green
2026-03-01,San Benito,276.68,215.96,337.4,69239,0.003996013807247361,Green
2026-03-01,San Bernardino,14408.4,12481.61,16335.18,2197017,0.006558165002819733,Green
2026-03-01,San Diego,18875.05,16019.92,21730.19,3255567,0.00579777654706538,Green
2026-03-01,San Francisco,4299.42,3587.81,5011.03,811416,0.005298663077878672,Green
2026-03-01,San Joaquin,4858.42,4144.27,5572.57,814309,0.0059663100862203415,Green
2026-03-01,San Luis Obispo,1497.17,1250.88,1743.45,280825,0.005331327339090181,Green
2026-03-01,San Mateo,2199.07,1566.58,2831.57,721201,0.0030491776911013716,Green
2026-03-01,Santa Barbara,2436.79,2054.47,2819.11,435941,0.0055897242975540265,Green
2026-03-01,Santa Clara,5746.02,4100.68,7391.37,1876106,0.0030627373933029374,Green
2026-03-01,Santa Cruz,1326.84,1102.19,1551.5,256161,0.005179711197254851,Green
2026-03-01,Shasta,1289.57,1132.39,1446.75,179224,0.007195297504798464,Green
2026-03-01,Sierra,11.87,9.11,14.64,3156,0.0037610899873257286,Green
2026-03-01,Siskiyou,294.44,258.36,330.53,41143,0.007156502928809275,Green
2026-03-01,Solano,2270.16,1875.61,2664.7,449884,0.005046100772643614,Green
2026-03-01,Sonoma,2050.34,1629.29,2471.38,480098,0.0042706697382617715,Green
2026-03-01,Stanislaus,3347.88,2863.92,3831.84,551838,0.006066780468180879,Green
2026-03-01,Sutter,541.08,456.27,625.89,96706,0.0055951026823568345,Green
2026-03-01,Tehama,452.09,395.88,508.3,64090,0.007053986581369948,Green
2026-03-01,Trinity,97.42,83.87,110.98,15454,0.006303869548337,Green
2026-03-01,Tulare,3271.76,2848.49,3695.03,482636,0.006778938993361457,Green
2026-03-01,Tuolumne,314.07,267.21,360.94,53438,0.005877278341255287,Green
2026-03-01,Ventura,3580.44,2858.64,4302.23,823028,0.004350325869836749,Green
2026-03-01,Yolo,1426.8,1235.97,1617.64,217596,0.006557105829151271,Green
2026-03-01,Yuba,552.4,474.82,629.98,88460,0.006244630341397241,Green
