county,date,metro_area,SNAP_Applications,Population,Median_Income,month,SNAP_Application_Rate,monthly_average_CalFresh,monthly_average_FoodBank
Alameda,2022-05-01,SanFranciscoOaklandSanJose,7646.0,1610046,126240.0,5,0.004748932639191675,,
Alameda,2022-06-01,SanFranciscoOaklandSanJose,9006.0,1610046,126240.0,6,0.005593629001904294,56.2,54.8
Alameda,2022-07-01,SanFranciscoOaklandSanJose,8713.0,1610046,126240.0,7,0.00541164662376106,63.25,59.75
Alameda,2022-08-01,SanFranciscoOaklandSanJose,11600.0,1610046,126240.0,8,0.007204763093725273,74.8,58.4
Alameda,2022-09-01,SanFranciscoOaklandSanJose,11463.0,1610046,126240.0,9,0.00711967235718731,76.0,56.75
Alameda,2022-10-01,SanFranciscoOaklandSanJose,10409.0,1610046,126240.0,10,0.006465032676085031,76.25,57.0
Alameda,2022-11-01,SanFranciscoOaklandSanJose,8868.0,1610046,126240.0,11,0.00550791716509963,72.8,64.0
Alameda,2022-12-01,SanFranciscoOaklandSanJose,7857.0,1610046,126240.0,12,0.004879984795465471,67.5,90.25
Alameda,2023-01-01,SanFranciscoOaklandSanJose,10285.0,1610046,126240.0,1,0.006388016243014175,60.5,78.0
Alameda,2023-02-01,SanFranciscoOaklandSanJose,8335.0,1610046,126240.0,2,0.005176870722948288,73.6,64.2
Alameda,2023-03-01,SanFranciscoOaklandSanJose,9154.0,1610046,126240.0,3,0.005685551841375961,75.25,63.5
Alameda,2023-04-01,SanFranciscoOaklandSanJose,7704.0,1610046,126240.0,4,0.0047849564546603015,75.75,69.0
Alameda,2023-05-01,SanFranciscoOaklandSanJose,9093.0,1610046,126240.0,5,0.005647664725107233,68.2,67.2
Alameda,2023-06-01,SanFranciscoOaklandSanJose,8424.0,1610046,126240.0,6,0.005232148646684629,55.75,64.5
Alameda,2023-07-01,SanFranciscoOaklandSanJose,8476.0,1610046,126240.0,7,0.005264445860553053,62.0,63.5
Alameda,2023-08-01,SanFranciscoOaklandSanJose,11454.0,1610046,126240.0,8,0.007114082454787006,75.2,63.2
Alameda,2023-09-01,SanFranciscoOaklandSanJose,9537.0,1610046,126240.0,9,0.005923433243522235,85.75,70.25
Alameda,2023-10-01,SanFranciscoOaklandSanJose,9684.0,1610046,126240.0,10,0.006014734982727202,86.5,64.5
Alameda,2023-11-01,SanFranciscoOaklandSanJose,8546.0,1610046,126240.0,11,0.0053079228792220845,75.2,66.0
Alameda,2023-12-01,SanFranciscoOaklandSanJose,7113.0,1610046,126240.0,12,0.004417886197040333,65.0,82.0
Alameda,2024-01-01,SanFranciscoOaklandSanJose,10156.0,1610046,126240.0,1,0.006307894308609816,67.0,77.4
Alameda,2024-02-01,SanFranciscoOaklandSanJose,8008.0,1610046,126240.0,2,0.00497377093573724,76.25,59.75
Alameda,2024-03-01,SanFranciscoOaklandSanJose,8543.0,1610046,126240.0,3,0.005306059578421983,77.0,54.5
Alameda,2024-04-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,4,0.0052489183538855415,69.2,62.0
Alameda,2024-05-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,5,0.0052489183538855415,61.5,55.25
Alameda,2024-06-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,6,0.0052489183538855415,58.0,51.5
Alameda,2024-07-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,7,0.0052489183538855415,67.8,53.8
Alameda,2024-08-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,8,0.0052489183538855415,72.5,53.0
Alameda,2024-09-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,9,0.0052489183538855415,86.25,50.5
Alameda,2024-10-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,10,0.0052489183538855415,82.0,53.6
Alameda,2024-11-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,11,0.0052489183538855415,72.0,55.5
Alameda,2024-12-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,12,0.0052489183538855415,60.5,71.0
Alameda,2025-01-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,1,0.0052489183538855415,63.2,64.2
Alameda,2025-02-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,2,0.0052489183538855415,77.25,57.25
Alameda,2025-03-01,SanFranciscoOaklandSanJose,8451.0,1610046,126240.0,3,0.0052489183538855415,71.75,52.5
Alpine,2022-05-01,Reno,11.525,1043,110781.0,5,0.011049856184084373,,
