"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",33,17,0,0,11,76,0,64
"2023-06-01",43,20,0,0,12,82,0,72
"2023-07-01",43,18,7,0,10,75,0,70
"2023-08-01",44,31,0,0,14,100,0,79
"2023-09-01",41,28,8,0,9,76,0,82
"2023-10-01",40,23,0,0,15,82,0,66
"2023-11-01",29,15,0,0,10,87,0,50
"2023-12-01",27,17,0,0,0,76,0,43
"2024-01-01",33,19,0,0,13,90,0,58
"2024-02-01",30,12,0,0,11,76,0,47
"2024-03-01",26,8,0,0,10,62,0,51
"2024-04-01",33,16,0,0,8,58,8,56
"2024-05-01",29,15,0,0,14,62,0,54
"2024-06-01",36,19,0,0,9,69,0,51
"2024-07-01",41,21,0,0,8,76,0,67
"2024-08-01",44,19,0,0,16,76,0,61
"2024-09-01",32,15,0,0,14,63,0,57
"2024-10-01",33,17,0,0,10,64,0,54
"2024-11-01",30,18,0,0,13,51,0,52
"2024-12-01",29,14,0,0,11,62,0,58
"2025-01-01",42,16,0,0,14,70,0,69
"2025-02-01",32,16,0,0,9,71,0,65
"2025-03-01",24,21,0,0,12,59,0,51
"2025-04-01",32,12,9,0,17,68,0,57
"2025-05-01",24,20,0,0,9,54,0,52
"2025-06-01",42,26,0,0,10,70,0,70
