"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",26,14,0,0,15,67,0,50
"2023-06-01",32,14,0,0,12,77,0,63
"2023-07-01",41,20,0,0,17,73,0,72
"2023-08-01",39,21,0,0,23,100,0,58
"2023-09-01",48,18,0,0,11,91,0,73
"2023-10-01",41,15,0,0,19,84,0,67
"2023-11-01",37,17,0,0,21,71,0,57
"2023-12-01",20,10,0,0,20,74,0,49
"2024-01-01",28,20,0,0,16,94,0,56
"2024-02-01",24,14,0,0,11,86,0,40
"2024-03-01",35,0,0,0,0,76,0,60
"2024-04-01",18,17,0,0,15,79,0,44
"2024-05-01",22,0,0,0,13,80,0,42
"2024-06-01",17,19,0,0,16,67,0,41
"2024-07-01",34,21,0,0,11,72,0,50
"2024-08-01",24,11,0,0,18,91,0,52
"2024-09-01",22,13,0,0,13,81,0,50
"2024-10-01",25,10,0,0,12,81,0,42
"2024-11-01",21,17,0,0,16,78,0,43
"2024-12-01",21,11,0,0,15,73,0,45
"2025-01-01",36,12,0,0,15,79,0,70
"2025-02-01",32,11,0,0,13,88,0,72
"2025-03-01",31,13,0,0,12,84,0,62
"2025-04-01",30,24,0,0,15,80,0,51
"2025-05-01",24,13,0,0,10,70,0,59
"2025-06-01",28,16,0,0,0,63,0,57
