"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",43,20,5,0,22,78,0,76
"2023-06-01",46,19,6,0,28,83,0,80
"2023-07-01",43,23,4,0,23,82,0,73
"2023-08-01",48,33,6,0,24,92,0,83
"2023-09-01",49,28,7,0,28,84,0,84
"2023-10-01",40,19,5,0,22,87,3,69
"2023-11-01",37,17,3,0,31,83,0,66
"2023-12-01",45,17,3,0,27,77,0,74
"2024-01-01",48,20,4,0,30,90,0,77
"2024-02-01",37,14,6,0,25,71,0,64
"2024-03-01",34,14,0,0,25,68,0,65
"2024-04-01",35,14,0,0,24,67,0,62
"2024-05-01",35,15,4,0,22,74,0,58
"2024-06-01",39,27,0,0,23,74,0,69
"2024-07-01",45,25,5,0,25,90,0,74
"2024-08-01",37,23,4,0,24,79,0,71
"2024-09-01",42,17,5,0,21,79,0,67
"2024-10-01",34,20,4,0,25,74,0,61
"2024-11-01",37,17,0,0,26,74,0,66
"2024-12-01",31,18,3,0,17,69,0,64
"2025-01-01",63,19,7,0,25,85,0,100
"2025-02-01",45,21,0,0,18,76,0,85
"2025-03-01",40,24,3,0,24,73,0,69
"2025-04-01",40,27,0,0,20,77,0,62
"2025-05-01",32,24,4,0,21,69,0,65
"2025-06-01",43,25,4,0,22,72,0,75
