"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",40,11,8,0,23,7,0,92
"2023-06-01",39,0,13,0,25,0,0,85
"2023-07-01",41,0,10,0,27,0,0,89
"2023-08-01",37,11,8,0,23,0,0,81
"2023-09-01",40,14,12,0,22,0,0,100
"2023-10-01",32,8,14,0,22,0,0,90
"2023-11-01",38,7,13,0,27,0,0,81
"2023-12-01",36,0,16,0,27,0,0,78
"2024-01-01",39,7,9,0,20,0,0,81
"2024-02-01",37,0,11,0,15,9,0,78
"2024-03-01",29,7,7,0,14,0,0,77
"2024-04-01",27,0,0,0,20,7,0,61
"2024-05-01",24,0,0,0,10,0,0,58
"2024-06-01",40,0,12,0,15,0,0,75
"2024-07-01",29,0,10,0,14,0,0,73
"2024-08-01",32,11,14,0,17,8,0,71
"2024-09-01",27,0,9,0,24,0,0,66
"2024-10-01",42,0,12,0,25,9,0,81
"2024-11-01",34,0,11,0,29,0,0,75
"2024-12-01",29,0,9,0,12,0,0,83
"2025-01-01",40,10,12,0,25,0,0,86
"2025-02-01",31,0,11,0,20,0,0,81
"2025-03-01",31,7,10,0,12,0,0,69
"2025-04-01",31,11,9,0,15,0,0,72
"2025-05-01",27,0,17,0,14,0,0,73
"2025-06-01",32,15,8,0,16,0,0,76
