"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",20,16,0,0,37,55,0,45
"2023-06-01",28,13,0,0,43,63,0,53
"2023-07-01",23,13,0,0,46,67,0,44
"2023-08-01",26,27,0,0,47,82,0,48
"2023-09-01",32,23,0,0,53,86,0,53
"2023-10-01",20,23,0,0,46,82,0,45
"2023-11-01",33,16,0,0,61,100,0,58
"2023-12-01",19,15,0,0,53,61,0,48
"2024-01-01",23,22,0,0,46,90,0,47
"2024-02-01",19,15,0,0,49,81,0,44
"2024-03-01",20,15,0,0,55,78,0,48
"2024-04-01",17,14,0,0,41,68,0,45
"2024-05-01",16,17,0,0,45,83,0,41
"2024-06-01",27,13,0,0,40,64,0,53
"2024-07-01",24,27,0,0,46,69,0,60
"2024-08-01",30,21,0,0,46,94,0,58
"2024-09-01",29,17,0,0,44,84,0,46
"2024-10-01",28,24,0,0,48,95,0,48
"2024-11-01",31,12,0,0,62,89,0,55
"2024-12-01",20,19,0,0,50,76,0,43
"2025-01-01",29,22,0,0,47,97,0,70
"2025-02-01",34,20,0,0,40,95,0,69
"2025-03-01",16,17,0,0,36,76,0,50
"2025-04-01",20,20,0,0,36,69,0,50
"2025-05-01",17,20,0,0,33,75,0,41
"2025-06-01",22,32,0,0,37,73,0,57
