"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",28,16,0,0,38,50,0,55
"2023-06-01",32,0,0,0,36,78,0,49
"2023-07-01",39,18,0,18,37,82,0,72
"2023-08-01",22,15,0,0,46,71,0,58
"2023-09-01",33,18,0,0,55,75,0,55
"2023-10-01",34,22,0,0,47,70,0,51
"2023-11-01",33,15,0,0,33,65,0,43
"2023-12-01",27,12,0,0,34,48,0,41
"2024-01-01",33,0,0,0,49,51,0,49
"2024-02-01",23,0,0,0,40,58,15,38
"2024-03-01",20,0,0,0,18,58,0,39
"2024-04-01",24,17,0,0,32,44,0,41
"2024-05-01",21,0,0,0,32,55,0,37
"2024-06-01",36,19,0,0,47,77,0,60
"2024-07-01",37,15,0,0,45,100,0,63
"2024-08-01",32,0,0,0,51,70,0,60
"2024-09-01",33,15,0,0,44,61,0,59
"2024-10-01",35,0,0,0,63,71,0,46
"2024-11-01",25,0,0,0,57,54,0,37
"2024-12-01",22,0,0,0,41,51,0,39
"2025-01-01",24,0,0,0,41,69,0,54
"2025-02-01",26,15,0,0,29,57,0,48
"2025-03-01",0,13,0,0,46,51,0,25
"2025-04-01",20,31,0,0,42,44,0,35
"2025-05-01",23,20,0,0,43,49,0,39
"2025-06-01",31,0,0,0,59,79,0,61
