"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",22,20,4,2,28,71,2,46
"2023-06-01",25,21,4,0,30,71,2,53
"2023-07-01",21,20,3,2,28,78,2,48
"2023-08-01",27,26,3,2,30,91,2,54
"2023-09-01",28,37,5,0,30,100,3,62
"2023-10-01",24,30,4,0,28,98,2,49
"2023-11-01",23,22,5,0,36,85,2,46
"2023-12-01",21,17,0,0,30,75,0,43
"2024-01-01",26,18,0,2,27,86,0,48
"2024-02-01",25,17,4,3,29,91,2,48
"2024-03-01",22,18,5,0,25,96,3,54
"2024-04-01",20,17,3,0,28,79,2,43
"2024-05-01",20,15,3,0,28,69,2,40
"2024-06-01",23,20,3,0,26,70,0,40
"2024-07-01",21,22,3,0,25,71,0,44
"2024-08-01",23,24,5,0,26,86,3,50
"2024-09-01",22,19,5,0,21,84,0,44
"2024-10-01",22,16,5,2,28,95,0,47
"2024-11-01",20,20,2,0,33,82,0,43
"2024-12-01",18,20,2,0,31,70,0,42
"2025-01-01",29,18,6,2,28,98,0,59
"2025-02-01",24,23,6,0,23,86,0,61
"2025-03-01",19,22,5,0,28,93,2,50
"2025-04-01",18,21,3,2,26,76,2,43
"2025-05-01",18,21,6,0,26,66,2,45
"2025-06-01",19,23,3,0,27,75,0,43
