"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",34,24,6,3,58,70,2,73
"2023-06-01",34,28,5,1,57,74,2,74
"2023-07-01",32,27,6,1,56,85,2,72
"2023-08-01",38,40,7,2,65,99,2,78
"2023-09-01",33,45,6,2,55,100,3,79
"2023-10-01",29,35,6,1,59,86,1,66
"2023-11-01",30,26,5,3,71,81,0,64
"2023-12-01",29,25,3,2,72,74,1,62
"2024-01-01",32,24,5,2,54,90,1,71
"2024-02-01",28,21,4,2,49,87,2,63
"2024-03-01",27,21,3,1,53,75,2,61
"2024-04-01",26,20,3,1,50,72,2,57
"2024-05-01",28,20,3,1,48,72,2,61
"2024-06-01",28,29,4,0,49,74,2,54
"2024-07-01",30,33,4,1,45,82,2,60
"2024-08-01",29,31,5,1,44,97,3,68
"2024-09-01",28,29,3,0,46,98,1,55
"2024-10-01",27,27,6,2,46,91,1,63
"2024-11-01",28,22,5,2,64,69,2,63
"2024-12-01",26,24,4,0,55,75,2,63
"2025-01-01",36,26,9,2,52,91,2,83
"2025-02-01",34,24,8,2,46,80,2,79
"2025-03-01",27,30,5,2,43,79,2,61
"2025-04-01",27,30,5,2,45,79,2,62
"2025-05-01",27,27,7,0,43,67,2,67
"2025-06-01",29,33,8,1,47,76,3,69
