"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",40,0,0,0,27,36,0,63
"2023-06-01",58,13,0,0,29,29,0,86
"2023-07-01",64,0,0,0,37,33,0,93
"2023-08-01",65,15,0,0,40,36,0,100
"2023-09-01",46,26,0,0,27,34,0,72
"2023-10-01",39,14,0,0,35,23,0,60
"2023-11-01",35,28,0,0,48,23,0,45
"2023-12-01",26,12,0,0,35,19,0,56
"2024-01-01",40,0,0,0,27,21,0,60
"2024-02-01",31,13,0,0,39,16,0,39
"2024-03-01",28,0,0,0,31,24,0,56
"2024-04-01",39,0,0,0,35,22,0,57
"2024-05-01",45,15,0,0,26,23,0,69
"2024-06-01",47,0,0,0,41,24,0,75
"2024-07-01",53,15,0,0,38,26,0,96
"2024-08-01",35,0,0,0,36,29,0,72
"2024-09-01",34,0,0,0,29,33,0,73
"2024-10-01",27,0,0,0,26,28,0,53
"2024-11-01",34,0,0,0,26,22,0,50
"2024-12-01",32,0,0,0,31,14,0,50
"2025-01-01",43,0,0,0,21,25,0,74
"2025-02-01",30,0,0,0,22,15,0,52
"2025-03-01",40,0,0,0,20,29,0,57
"2025-04-01",33,14,0,0,25,21,0,61
"2025-05-01",44,0,0,0,27,15,0,79
"2025-06-01",42,29,0,0,33,29,0,61
