"Time","CalFresh"
"2019-09-29",57
"2019-10-06",0
"2019-10-13",47
"2019-10-20",0
"2019-10-27",0
"2019-11-03",47
"2019-11-10",0
"2019-11-17",36
"2019-11-24",0
"2019-12-01",0
"2019-12-08",0
"2019-12-15",0
"2019-12-22",0
"2019-12-29",37
"2020-01-05",42
"2020-01-12",0
"2020-01-19",0
"2020-01-26",45
"2020-02-02",40
"2020-02-09",0
"2020-02-16",39
"2020-02-23",0
"2020-03-01",47
"2020-03-08",50
"2020-03-15",66
"2020-03-22",58
"2020-03-29",42
"2020-04-05",100
"2020-04-12",82
"2020-04-19",54
"2020-04-26",38
"2020-05-03",59
"2020-05-10",36
"2020-05-17",32
"2020-05-24",36
"2020-05-31",0
"2020-06-07",48
"2020-06-14",0
"2020-06-21",0
"2020-06-28",0
"2020-07-05",0
"2020-07-12",39
"2020-07-19",37
"2020-07-26",0
"2020-08-02",42
"2020-08-09",59
"2020-08-16",0
"2020-08-23",30
"2020-08-30",38
"2020-09-06",36
"2020-09-13",0
"2020-09-20",45
"2020-09-27",57
