"Time","CalFresh"
"2020-08-30",46
"2020-09-06",62
"2020-09-13",36
"2020-09-20",37
"2020-09-27",49
"2020-10-04",63
"2020-10-11",56
"2020-10-18",46
"2020-10-25",41
"2020-11-01",50
"2020-11-08",63
"2020-11-15",52
"2020-11-22",36
"2020-11-29",58
"2020-12-06",78
"2020-12-13",68
"2020-12-20",60
"2020-12-27",43
"2021-01-03",100
"2021-01-10",52
"2021-01-17",44
"2021-01-24",57
"2021-01-31",61
"2021-02-07",56
"2021-02-14",35
"2021-02-21",64
"2021-02-28",71
"2021-03-07",63
"2021-03-14",29
"2021-03-21",45
"2021-03-28",70
"2021-04-04",53
"2021-04-11",55
"2021-04-18",45
"2021-04-25",45
"2021-05-02",66
"2021-05-09",59
"2021-05-16",52
"2021-05-23",38
"2021-05-30",53
"2021-06-06",77
"2021-06-13",61
"2021-06-20",48
"2021-06-27",71
"2021-07-04",59
"2021-07-11",79
"2021-07-18",62
"2021-07-25",61
"2021-08-01",74
"2021-08-08",70
"2021-08-15",63
"2021-08-22",66
"2021-08-29",94
