"Time","CalFresh"
"2017-01-01",32
"2017-01-08",30
"2017-01-15",0
"2017-01-22",0
"2017-01-29",6
"2017-02-05",21
"2017-02-12",20
"2017-02-19",22
"2017-02-26",30
"2017-03-05",29
"2017-03-12",44
"2017-03-19",55
"2017-03-26",48
"2017-04-02",75
"2017-04-09",54
"2017-04-16",57
"2017-04-23",52
"2017-04-30",72
"2017-05-07",65
"2017-05-14",55
"2017-05-21",71
"2017-05-28",65
"2017-06-04",79
"2017-06-11",58
"2017-06-18",62
"2017-06-25",62
"2017-07-02",87
"2017-07-09",67
"2017-07-16",68
"2017-07-23",80
"2017-07-30",89
"2017-08-06",100
"2017-08-13",82
"2017-08-20",71
"2017-08-27",76
"2017-09-03",72
"2017-09-10",77
"2017-09-17",64
"2017-09-24",73
"2017-10-01",87
"2017-10-08",71
"2017-10-15",68
"2017-10-22",73
"2017-10-29",63
"2017-11-05",74
"2017-11-12",65
"2017-11-19",43
"2017-11-26",59
"2017-12-03",75
"2017-12-10",62
"2017-12-17",56
"2017-12-24",55
"2017-12-31",82
