"Time","CalFresh"
"2021-08-01",33
"2021-08-08",43
"2021-08-15",43
"2021-08-22",37
"2021-08-29",51
"2021-09-05",72
"2021-09-12",54
"2021-09-19",35
"2021-09-26",46
"2021-10-03",58
"2021-10-10",35
"2021-10-17",37
"2021-10-24",34
"2021-10-31",0
"2021-11-07",60
"2021-11-14",36
"2021-11-21",0
"2021-11-28",35
"2021-12-05",49
"2021-12-12",42
"2021-12-19",41
"2021-12-26",54
"2022-01-02",50
"2022-01-09",37
"2022-01-16",100
"2022-01-23",57
"2022-01-30",44
"2022-02-06",50
"2022-02-13",47
"2022-02-20",53
"2022-02-27",42
"2022-03-06",63
"2022-03-13",65
"2022-03-20",47
"2022-03-27",41
"2022-04-03",43
"2022-04-10",33
"2022-04-17",54
"2022-04-24",32
"2022-05-01",33
"2022-05-08",42
"2022-05-15",35
"2022-05-22",31
"2022-05-29",29
"2022-06-05",42
"2022-06-12",30
"2022-06-19",43
"2022-06-26",37
"2022-07-03",55
"2022-07-10",57
"2022-07-17",51
"2022-07-24",46
"2022-07-31",44
