"Time","CalFresh"
"2024-04-28",58
"2024-05-05",53
"2024-05-12",0
"2024-05-19",0
"2024-05-26",66
"2024-06-02",69
"2024-06-09",69
"2024-06-16",0
"2024-06-23",0
"2024-06-30",100
"2024-07-07",68
"2024-07-14",69
"2024-07-21",0
"2024-07-28",0
"2024-08-04",80
"2024-08-11",58
"2024-08-18",0
"2024-08-25",0
"2024-09-01",56
"2024-09-08",0
"2024-09-15",68
"2024-09-22",61
"2024-09-29",0
"2024-10-06",69
"2024-10-13",0
"2024-10-20",59
"2024-10-27",96
"2024-11-03",50
"2024-11-10",0
"2024-11-17",0
"2024-11-24",0
"2024-12-01",62
"2024-12-08",0
"2024-12-15",0
"2024-12-22",0
"2024-12-29",66
"2025-01-05",62
"2025-01-12",58
"2025-01-19",0
"2025-01-26",69
"2025-02-02",80
"2025-02-09",47
"2025-02-16",0
"2025-02-23",58
"2025-03-02",57
"2025-03-09",0
"2025-03-16",49
"2025-03-23",40
"2025-03-30",45
"2025-04-06",0
"2025-04-13",52
"2025-04-20",0
"2025-04-27",0
