"Time","CalFresh"
"2023-05-28",79
"2023-06-04",71
"2023-06-11",61
"2023-06-18",69
"2023-06-25",69
"2023-07-02",91
"2023-07-09",86
"2023-07-16",90
"2023-07-23",81
"2023-07-30",95
"2023-08-06",84
"2023-08-13",78
"2023-08-20",67
"2023-08-27",87
"2023-09-03",91
"2023-09-10",83
"2023-09-17",74
"2023-09-24",84
"2023-10-01",93
"2023-10-08",78
"2023-10-15",61
"2023-10-22",66
"2023-10-29",85
"2023-11-05",92
"2023-11-12",72
"2023-11-19",52
"2023-11-26",73
"2023-12-03",81
"2023-12-10",64
"2023-12-17",61
"2023-12-24",52
"2023-12-31",88
"2024-01-07",100
"2024-01-14",79
"2024-01-21",85
"2024-01-28",84
"2024-02-04",85
"2024-02-11",81
"2024-02-18",71
"2024-02-25",80
"2024-03-03",86
"2024-03-10",74
"2024-03-17",58
"2024-03-24",64
"2024-03-31",77
"2024-04-07",70
"2024-04-14",57
"2024-04-21",63
"2024-04-28",76
"2024-05-05",74
"2024-05-12",63
"2024-05-19",71
"2024-05-26",68
