"Time","CalFresh"
"2024-04-28",75
"2024-05-05",69
"2024-05-12",64
"2024-05-19",64
"2024-05-26",61
"2024-06-02",72
"2024-06-09",73
"2024-06-16",59
"2024-06-23",64
"2024-06-30",58
"2024-07-07",64
"2024-07-14",74
"2024-07-21",59
"2024-07-28",79
"2024-08-04",95
"2024-08-11",73
"2024-08-18",70
"2024-08-25",80
"2024-09-01",85
"2024-09-08",85
"2024-09-15",81
"2024-09-22",74
"2024-09-29",92
"2024-10-06",85
"2024-10-13",82
"2024-10-20",80
"2024-10-27",92
"2024-11-03",81
"2024-11-10",72
"2024-11-17",92
"2024-11-24",53
"2024-12-01",81
"2024-12-08",74
"2024-12-15",53
"2024-12-22",49
"2024-12-29",67
"2025-01-05",91
"2025-01-12",83
"2025-01-19",85
"2025-01-26",88
"2025-02-02",100
"2025-02-09",79
"2025-02-16",60
"2025-02-23",80
"2025-03-02",96
"2025-03-09",85
"2025-03-16",87
"2025-03-23",76
"2025-03-30",75
"2025-04-06",85
"2025-04-13",59
"2025-04-20",65
"2025-04-27",73
