"Time","CalFresh"
"2017-11-26",52
"2017-12-03",76
"2017-12-10",66
"2017-12-17",45
"2017-12-24",36
"2017-12-31",55
"2018-01-07",60
"2018-01-14",56
"2018-01-21",50
"2018-01-28",78
"2018-02-04",68
"2018-02-11",57
"2018-02-18",57
"2018-02-25",66
"2018-03-04",68
"2018-03-11",62
"2018-03-18",51
"2018-03-25",53
"2018-04-01",72
"2018-04-08",73
"2018-04-15",55
"2018-04-22",58
"2018-04-29",75
"2018-05-06",65
"2018-05-13",45
"2018-05-20",50
"2018-05-27",62
"2018-06-03",56
"2018-06-10",59
"2018-06-17",70
"2018-06-24",68
"2018-07-01",70
"2018-07-08",63
"2018-07-15",67
"2018-07-22",88
"2018-07-29",83
"2018-08-05",77
"2018-08-12",82
"2018-08-19",95
"2018-08-26",81
"2018-09-02",82
"2018-09-09",100
"2018-09-16",70
"2018-09-23",87
"2018-09-30",78
"2018-10-07",95
"2018-10-14",71
"2018-10-21",62
"2018-10-28",55
"2018-11-04",71
"2018-11-11",63
"2018-11-18",52
"2018-11-25",56
