"Time","CalFresh"
"2019-09-29",100
"2019-10-06",71
"2019-10-13",32
"2019-10-20",51
"2019-10-27",40
"2019-11-03",49
"2019-11-10",29
"2019-11-17",39
"2019-11-24",0
"2019-12-01",50
"2019-12-08",38
"2019-12-15",0
"2019-12-22",0
"2019-12-29",0
"2020-01-05",65
"2020-01-12",46
"2020-01-19",39
"2020-01-26",36
"2020-02-02",50
"2020-02-09",30
"2020-02-16",41
"2020-02-23",29
"2020-03-01",42
"2020-03-08",39
"2020-03-15",31
"2020-03-22",34
"2020-03-29",52
"2020-04-05",50
"2020-04-12",50
"2020-04-19",37
"2020-04-26",47
"2020-05-03",49
"2020-05-10",57
"2020-05-17",60
"2020-05-24",26
"2020-05-31",26
"2020-06-07",27
"2020-06-14",0
"2020-06-21",40
"2020-06-28",31
"2020-07-05",30
"2020-07-12",0
"2020-07-19",0
"2020-07-26",35
"2020-08-02",35
"2020-08-09",31
"2020-08-16",35
"2020-08-23",31
"2020-08-30",30
"2020-09-06",38
"2020-09-13",31
"2020-09-20",52
"2020-09-27",31
