"Time","food bank near me"
"2023-05-28","93"
"2023-06-04","73"
"2023-06-11","66"
"2023-06-18","75"
"2023-06-25","100"
"2023-07-02","77"
"2023-07-09","72"
"2023-07-16","71"
"2023-07-23","93"
"2023-07-30","74"
"2023-08-06","50"
"2023-08-13","72"
"2023-08-20","53"
"2023-08-27","67"
"2023-09-03","64"
"2023-09-10","61"
"2023-09-17","55"
"2023-09-24","79"
"2023-10-01","64"
"2023-10-08","54"
"2023-10-15","40"
"2023-10-22","57"
"2023-10-29","75"
"2023-11-05","54"
"2023-11-12","70"
"2023-11-19","76"
"2023-11-26","77"
"2023-12-03","57"
"2023-12-10","52"
"2023-12-17","83"
"2023-12-24","68"
"2023-12-31","50"
"2024-01-07","43"
"2024-01-14","47"
"2024-01-21","57"
"2024-01-28","47"
"2024-02-04","40"
"2024-02-11","45"
"2024-02-18","57"
"2024-02-25","56"
"2024-03-03","42"
"2024-03-10","42"
"2024-03-17","25"
"2024-03-24","62"
"2024-03-31","45"
"2024-04-07","42"
"2024-04-14","23"
"2024-04-21","34"
"2024-04-28","47"
"2024-05-05","39"
"2024-05-12","37"
"2024-05-19","59"
"2024-05-26","34"
