"Time","food bank near me"
"2024-04-28","0"
"2024-05-05","0"
"2024-05-12","75"
"2024-05-19","0"
"2024-05-26","0"
"2024-06-02","0"
"2024-06-09","0"
"2024-06-16","0"
"2024-06-23","0"
"2024-06-30","0"
"2024-07-07","0"
"2024-07-14","0"
"2024-07-21","81"
"2024-07-28","0"
"2024-08-04","0"
"2024-08-11","0"
"2024-08-18","0"
"2024-08-25","82"
"2024-09-01","91"
"2024-09-08","0"
"2024-09-15","0"
"2024-09-22","0"
"2024-09-29","0"
"2024-10-06","0"
"2024-10-13","0"
"2024-10-20","79"
"2024-10-27","100"
"2024-11-03","69"
"2024-11-10","0"
"2024-11-17","0"
"2024-11-24","97"
"2024-12-01","0"
"2024-12-08","0"
"2024-12-15","76"
"2024-12-22","0"
"2024-12-29","0"
"2025-01-05","88"
"2025-01-12","0"
"2025-01-19","78"
"2025-01-26","0"
"2025-02-02","0"
"2025-02-09","0"
"2025-02-16","0"
"2025-02-23","0"
"2025-03-02","0"
"2025-03-09","0"
"2025-03-16","0"
"2025-03-23","0"
"2025-03-30","0"
"2025-04-06","0"
"2025-04-13","0"
"2025-04-20","0"
"2025-04-27","81"
