"Time","food bank near me"
"2019-09-29","28"
"2019-10-06","0"
"2019-10-13","0"
"2019-10-20","0"
"2019-10-27","40"
"2019-11-03","42"
"2019-11-10","52"
"2019-11-17","31"
"2019-11-24","54"
"2019-12-01","32"
"2019-12-08","29"
"2019-12-15","0"
"2019-12-22","46"
"2019-12-29","47"
"2020-01-05","30"
"2020-01-12","0"
"2020-01-19","36"
"2020-01-26","29"
"2020-02-02","26"
"2020-02-09","34"
"2020-02-16","34"
"2020-02-23","33"
"2020-03-01","0"
"2020-03-08","0"
"2020-03-15","40"
"2020-03-22","76"
"2020-03-29","49"
"2020-04-05","82"
"2020-04-12","76"
"2020-04-19","100"
"2020-04-26","96"
"2020-05-03","81"
"2020-05-10","77"
"2020-05-17","68"
"2020-05-24","46"
"2020-05-31","55"
"2020-06-07","33"
"2020-06-14","40"
"2020-06-21","25"
"2020-06-28","36"
"2020-07-05","41"
"2020-07-12","48"
"2020-07-19","0"
"2020-07-26","63"
"2020-08-02","59"
"2020-08-09","32"
"2020-08-16","51"
"2020-08-23","38"
"2020-08-30","48"
"2020-09-06","40"
"2020-09-13","34"
"2020-09-20","28"
"2020-09-27","41"
