"Time","food stamps"
"2023-05-28","61"
"2023-06-04","65"
"2023-06-11","48"
"2023-06-18","50"
"2023-06-25","53"
"2023-07-02","57"
"2023-07-09","60"
"2023-07-16","57"
"2023-07-23","90"
"2023-07-30","100"
"2023-08-06","55"
"2023-08-13","63"
"2023-08-20","36"
"2023-08-27","60"
"2023-09-03","72"
"2023-09-10","57"
"2023-09-17","51"
"2023-09-24","57"
"2023-10-01","67"
"2023-10-08","55"
"2023-10-15","64"
"2023-10-22","48"
"2023-10-29","71"
"2023-11-05","42"
"2023-11-12","0"
"2023-11-19","50"
"2023-11-26","38"
"2023-12-03","0"
"2023-12-10","51"
"2023-12-17","0"
"2023-12-24","0"
"2023-12-31","37"
"2024-01-07","67"
"2024-01-14","40"
"2024-01-21","0"
"2024-01-28","0"
"2024-02-04","43"
"2024-02-11","0"
"2024-02-18","0"
"2024-02-25","0"
"2024-03-03","49"
"2024-03-10","49"
"2024-03-17","0"
"2024-03-24","0"
"2024-03-31","0"
"2024-04-07","49"
"2024-04-14","57"
"2024-04-21","45"
"2024-04-28","44"
"2024-05-05","59"
"2024-05-12","37"
"2024-05-19","0"
"2024-05-26","0"
