"Time","food stamps"
"2021-08-01","58"
"2021-08-08","0"
"2021-08-15","71"
"2021-08-22","84"
"2021-08-29","0"
"2021-09-05","0"
"2021-09-12","0"
"2021-09-19","0"
"2021-09-26","0"
"2021-10-03","0"
"2021-10-10","79"
"2021-10-17","0"
"2021-10-24","0"
"2021-10-31","0"
"2021-11-07","0"
"2021-11-14","0"
"2021-11-21","0"
"2021-11-28","0"
"2021-12-05","0"
"2021-12-12","67"
"2021-12-19","0"
"2021-12-26","0"
"2022-01-02","65"
"2022-01-09","72"
"2022-01-16","0"
"2022-01-23","73"
"2022-01-30","100"
"2022-02-06","69"
"2022-02-13","83"
"2022-02-20","49"
"2022-02-27","71"
"2022-03-06","98"
"2022-03-13","56"
"2022-03-20","94"
"2022-03-27","0"
"2022-04-03","56"
"2022-04-10","59"
"2022-04-17","82"
"2022-04-24","0"
"2022-05-01","89"
"2022-05-08","47"
"2022-05-15","70"
"2022-05-22","62"
"2022-05-29","69"
"2022-06-05","95"
"2022-06-12","72"
"2022-06-19","59"
"2022-06-26","47"
"2022-07-03","78"
"2022-07-10","99"
"2022-07-17","76"
"2022-07-24","0"
"2022-07-31","66"
