"Time","food stamps"
"2018-10-28","20"
"2018-11-04","17"
"2018-11-11","19"
"2018-11-18","11"
"2018-11-25","20"
"2018-12-02","19"
"2018-12-09","26"
"2018-12-16","18"
"2018-12-23","27"
"2018-12-30","28"
"2019-01-06","63"
"2019-01-13","100"
"2019-01-20","35"
"2019-01-27","30"
"2019-02-03","24"
"2019-02-10","20"
"2019-02-17","25"
"2019-02-24","24"
"2019-03-03","26"
"2019-03-10","17"
"2019-03-17","17"
"2019-03-24","24"
"2019-03-31","17"
"2019-04-07","11"
"2019-04-14","19"
"2019-04-21","18"
"2019-04-28","21"
"2019-05-05","27"
"2019-05-12","17"
"2019-05-19","21"
"2019-05-26","26"
"2019-06-02","32"
"2019-06-09","33"
"2019-06-16","18"
"2019-06-23","16"
"2019-06-30","23"
"2019-07-07","22"
"2019-07-14","22"
"2019-07-21","27"
"2019-07-28","28"
"2019-08-04","24"
"2019-08-11","18"
"2019-08-18","17"
"2019-08-25","17"
"2019-09-01","23"
"2019-09-08","12"
"2019-09-15","14"
"2019-09-22","18"
"2019-09-29","24"
"2019-10-06","25"
"2019-10-13","17"
"2019-10-20","15"
"2019-10-27","13"
