"Time","food stamps"
"2020-08-30","54"
"2020-09-06","65"
"2020-09-13","58"
"2020-09-20","43"
"2020-09-27","51"
"2020-10-04","64"
"2020-10-11","68"
"2020-10-18","66"
"2020-10-25","52"
"2020-11-01","56"
"2020-11-08","70"
"2020-11-15","77"
"2020-11-22","50"
"2020-11-29","68"
"2020-12-06","77"
"2020-12-13","72"
"2020-12-20","58"
"2020-12-27","58"
"2021-01-03","76"
"2021-01-10","71"
"2021-01-17","72"
"2021-01-24","73"
"2021-01-31","74"
"2021-02-07","83"
"2021-02-14","64"
"2021-02-21","68"
"2021-02-28","68"
"2021-03-07","65"
"2021-03-14","56"
"2021-03-21","50"
"2021-03-28","54"
"2021-04-04","62"
"2021-04-11","60"
"2021-04-18","54"
"2021-04-25","53"
"2021-05-02","62"
"2021-05-09","59"
"2021-05-16","66"
"2021-05-23","56"
"2021-05-30","65"
"2021-06-06","64"
"2021-06-13","70"
"2021-06-20","50"
"2021-06-27","67"
"2021-07-04","80"
"2021-07-11","82"
"2021-07-18","70"
"2021-07-25","67"
"2021-08-01","70"
"2021-08-08","83"
"2021-08-15","100"
"2021-08-22","67"
"2021-08-29","81"
