"Time","food stamps"
"2023-05-28","81"
"2023-06-04","67"
"2023-06-11","55"
"2023-06-18","56"
"2023-06-25","63"
"2023-07-02","56"
"2023-07-09","99"
"2023-07-16","0"
"2023-07-23","63"
"2023-07-30","76"
"2023-08-06","53"
"2023-08-13","84"
"2023-08-20","59"
"2023-08-27","0"
"2023-09-03","92"
"2023-09-10","0"
"2023-09-17","52"
"2023-09-24","52"
"2023-10-01","68"
"2023-10-08","58"
"2023-10-15","46"
"2023-10-22","52"
"2023-10-29","65"
"2023-11-05","94"
"2023-11-12","0"
"2023-11-19","51"
"2023-11-26","52"
"2023-12-03","100"
"2023-12-10","0"
"2023-12-17","0"
"2023-12-24","54"
"2023-12-31","78"
"2024-01-07","86"
"2024-01-14","46"
"2024-01-21","62"
"2024-01-28","0"
"2024-02-04","66"
"2024-02-11","62"
"2024-02-18","0"
"2024-02-25","0"
"2024-03-03","50"
"2024-03-10","0"
"2024-03-17","0"
"2024-03-24","0"
"2024-03-31","73"
"2024-04-07","0"
"2024-04-14","0"
"2024-04-21","0"
"2024-04-28","0"
"2024-05-05","54"
"2024-05-12","0"
"2024-05-19","55"
"2024-05-26","0"
