"Time","food stamps"
"2022-06-26","0"
"2022-07-03","0"
"2022-07-10","0"
"2022-07-17","0"
"2022-07-24","63"
"2022-07-31","0"
"2022-08-07","58"
"2022-08-14","0"
"2022-08-21","100"
"2022-08-28","61"
"2022-09-04","69"
"2022-09-11","70"
"2022-09-18","72"
"2022-09-25","51"
"2022-10-02","74"
"2022-10-09","88"
"2022-10-16","72"
"2022-10-23","0"
"2022-10-30","0"
"2022-11-06","0"
"2022-11-13","75"
"2022-11-20","0"
"2022-11-27","0"
"2022-12-04","0"
"2022-12-11","91"
"2022-12-18","0"
"2022-12-25","0"
"2023-01-01","0"
"2023-01-08","52"
"2023-01-15","65"
"2023-01-22","0"
"2023-01-29","56"
"2023-02-05","0"
"2023-02-12","0"
"2023-02-19","0"
"2023-02-26","0"
"2023-03-05","0"
"2023-03-12","0"
"2023-03-19","0"
"2023-03-26","0"
"2023-04-02","0"
"2023-04-09","0"
"2023-04-16","0"
"2023-04-23","0"
"2023-04-30","0"
"2023-05-07","0"
"2023-05-14","0"
"2023-05-21","0"
"2023-05-28","0"
"2023-06-04","58"
"2023-06-11","0"
"2023-06-18","0"
"2023-06-25","0"
