"Time","food stamps"
"2022-06-26","68"
"2022-07-03","79"
"2022-07-10","41"
"2022-07-17","32"
"2022-07-24","34"
"2022-07-31","63"
"2022-08-07","63"
"2022-08-14","62"
"2022-08-21","100"
"2022-08-28","0"
"2022-09-04","56"
"2022-09-11","70"
"2022-09-18","48"
"2022-09-25","45"
"2022-10-02","41"
"2022-10-09","78"
"2022-10-16","46"
"2022-10-23","42"
"2022-10-30","67"
"2022-11-06","64"
"2022-11-13","38"
"2022-11-20","54"
"2022-11-27","87"
"2022-12-04","69"
"2022-12-11","35"
"2022-12-18","54"
"2022-12-25","40"
"2023-01-01","55"
"2023-01-08","86"
"2023-01-15","65"
"2023-01-22","47"
"2023-01-29","53"
"2023-02-05","48"
"2023-02-12","40"
"2023-02-19","0"
"2023-02-26","31"
"2023-03-05","41"
"2023-03-12","85"
"2023-03-19","0"
"2023-03-26","0"
"2023-04-02","39"
"2023-04-09","0"
"2023-04-16","33"
"2023-04-23","60"
"2023-04-30","47"
"2023-05-07","53"
"2023-05-14","0"
"2023-05-21","40"
"2023-05-28","36"
"2023-06-04","41"
"2023-06-11","33"
"2023-06-18","0"
"2023-06-25","47"
