"Time","food stamps"
"2020-08-30","48"
"2020-09-06","47"
"2020-09-13","58"
"2020-09-20","46"
"2020-09-27","46"
"2020-10-04","44"
"2020-10-11","65"
"2020-10-18","52"
"2020-10-25","49"
"2020-11-01","58"
"2020-11-08","62"
"2020-11-15","76"
"2020-11-22","40"
"2020-11-29","61"
"2020-12-06","61"
"2020-12-13","78"
"2020-12-20","56"
"2020-12-27","53"
"2021-01-03","69"
"2021-01-10","54"
"2021-01-17","66"
"2021-01-24","67"
"2021-01-31","83"
"2021-02-07","69"
"2021-02-14","61"
"2021-02-21","57"
"2021-02-28","60"
"2021-03-07","63"
"2021-03-14","62"
"2021-03-21","45"
"2021-03-28","48"
"2021-04-04","66"
"2021-04-11","49"
"2021-04-18","45"
"2021-04-25","41"
"2021-05-02","62"
"2021-05-09","57"
"2021-05-16","48"
"2021-05-23","50"
"2021-05-30","65"
"2021-06-06","65"
"2021-06-13","55"
"2021-06-20","58"
"2021-06-27","61"
"2021-07-04","66"
"2021-07-11","71"
"2021-07-18","69"
"2021-07-25","62"
"2021-08-01","77"
"2021-08-08","64"
"2021-08-15","100"
"2021-08-22","54"
"2021-08-29","75"
