"Time","food stamps"
"2017-11-26","45"
"2017-12-03","45"
"2017-12-10","48"
"2017-12-17","44"
"2017-12-24","29"
"2017-12-31","40"
"2018-01-07","52"
"2018-01-14","41"
"2018-01-21","62"
"2018-01-28","38"
"2018-02-04","47"
"2018-02-11","100"
"2018-02-18","44"
"2018-02-25","49"
"2018-03-04","58"
"2018-03-11","45"
"2018-03-18","38"
"2018-03-25","33"
"2018-04-01","48"
"2018-04-08","50"
"2018-04-15","25"
"2018-04-22","46"
"2018-04-29","48"
"2018-05-06","38"
"2018-05-13","32"
"2018-05-20","31"
"2018-05-27","24"
"2018-06-03","55"
"2018-06-10","36"
"2018-06-17","56"
"2018-06-24","33"
"2018-07-01","40"
"2018-07-08","32"
"2018-07-15","36"
"2018-07-22","32"
"2018-07-29","38"
"2018-08-05","43"
"2018-08-12","38"
"2018-08-19","38"
"2018-08-26","49"
"2018-09-02","42"
"2018-09-09","50"
"2018-09-16","22"
"2018-09-23","37"
"2018-09-30","46"
"2018-10-07","29"
"2018-10-14","40"
"2018-10-21","41"
"2018-10-28","29"
"2018-11-04","47"
"2018-11-11","29"
"2018-11-18","21"
"2018-11-25","40"
