"Time","food stamps"
"2018-10-28","33"
"2018-11-04","33"
"2018-11-11","26"
"2018-11-18","25"
"2018-11-25","25"
"2018-12-02","35"
"2018-12-09","36"
"2018-12-16","36"
"2018-12-23","21"
"2018-12-30","44"
"2019-01-06","69"
"2019-01-13","100"
"2019-01-20","70"
"2019-01-27","37"
"2019-02-03","42"
"2019-02-10","34"
"2019-02-17","43"
"2019-02-24","34"
"2019-03-03","35"
"2019-03-10","37"
"2019-03-17","25"
"2019-03-24","29"
"2019-03-31","34"
"2019-04-07","35"
"2019-04-14","30"
"2019-04-21","29"
"2019-04-28","41"
"2019-05-05","35"
"2019-05-12","35"
"2019-05-19","38"
"2019-05-26","32"
"2019-06-02","40"
"2019-06-09","42"
"2019-06-16","31"
"2019-06-23","37"
"2019-06-30","42"
"2019-07-07","37"
"2019-07-14","32"
"2019-07-21","52"
"2019-07-28","43"
"2019-08-04","53"
"2019-08-11","48"
"2019-08-18","33"
"2019-08-25","33"
"2019-09-01","37"
"2019-09-08","38"
"2019-09-15","29"
"2019-09-22","31"
"2019-09-29","32"
"2019-10-06","37"
"2019-10-13","31"
"2019-10-20","28"
"2019-10-27","26"
