"Time","food stamps"
"2022-06-26","0"
"2022-07-03","90"
"2022-07-10","61"
"2022-07-17","84"
"2022-07-24","0"
"2022-07-31","0"
"2022-08-07","75"
"2022-08-14","0"
"2022-08-21","64"
"2022-08-28","0"
"2022-09-04","0"
"2022-09-11","53"
"2022-09-18","78"
"2022-09-25","69"
"2022-10-02","53"
"2022-10-09","100"
"2022-10-16","48"
"2022-10-23","0"
"2022-10-30","0"
"2022-11-06","0"
"2022-11-13","61"
"2022-11-20","59"
"2022-11-27","0"
"2022-12-04","63"
"2022-12-11","57"
"2022-12-18","0"
"2022-12-25","0"
"2023-01-01","0"
"2023-01-08","62"
"2023-01-15","0"
"2023-01-22","0"
"2023-01-29","0"
"2023-02-05","0"
"2023-02-12","0"
"2023-02-19","64"
"2023-02-26","0"
"2023-03-05","0"
"2023-03-12","0"
"2023-03-19","0"
"2023-03-26","47"
"2023-04-02","0"
"2023-04-09","51"
"2023-04-16","0"
"2023-04-23","0"
"2023-04-30","0"
"2023-05-07","0"
"2023-05-14","0"
"2023-05-21","0"
"2023-05-28","66"
"2023-06-04","80"
"2023-06-11","60"
"2023-06-18","0"
"2023-06-25","57"
