"Time","Food bank"
"2023-05-28",66
"2023-06-04",53
"2023-06-11",47
"2023-06-18",60
"2023-06-25",89
"2023-07-02",50
"2023-07-09",82
"2023-07-16",80
"2023-07-23",89
"2023-07-30",76
"2023-08-06",54
"2023-08-13",71
"2023-08-20",76
"2023-08-27",49
"2023-09-03",56
"2023-09-10",81
"2023-09-17",100
"2023-09-24",80
"2023-10-01",90
"2023-10-08",67
"2023-10-15",78
"2023-10-22",60
"2023-10-29",67
"2023-11-05",69
"2023-11-12",83
"2023-11-19",72
"2023-11-26",74
"2023-12-03",84
"2023-12-10",45
"2023-12-17",52
"2023-12-24",26
"2023-12-31",48
"2024-01-07",55
"2024-01-14",73
"2024-01-21",56
"2024-01-28",52
"2024-02-04",38
"2024-02-11",28
"2024-02-18",47
"2024-02-25",42
"2024-03-03",56
"2024-03-10",48
"2024-03-17",53
"2024-03-24",42
"2024-03-31",29
"2024-04-07",33
"2024-04-14",49
"2024-04-21",64
"2024-04-28",49
"2024-05-05",42
"2024-05-12",30
"2024-05-19",45
"2024-05-26",53
