"Time","CalFresh"
"2018-10-28",51
"2018-11-04",61
"2018-11-11",48
"2018-11-18",39
"2018-11-25",45
"2018-12-02",52
"2018-12-09",54
"2018-12-16",43
"2018-12-23",33
"2018-12-30",56
"2019-01-06",66
"2019-01-13",84
"2019-01-20",68
"2019-01-27",57
"2019-02-03",63
"2019-02-10",50
"2019-02-17",51
"2019-02-24",63
"2019-03-03",52
"2019-03-10",46
"2019-03-17",43
"2019-03-24",53
"2019-03-31",65
"2019-04-07",56
"2019-04-14",49
"2019-04-21",52
"2019-04-28",58
"2019-05-05",59
"2019-05-12",69
"2019-05-19",78
"2019-05-26",77
"2019-06-02",100
"2019-06-09",98
"2019-06-16",84
"2019-06-23",85
"2019-06-30",78
"2019-07-07",89
"2019-07-14",78
"2019-07-21",78
"2019-07-28",82
"2019-08-04",93
"2019-08-11",79
"2019-08-18",75
"2019-08-25",67
"2019-09-01",80
"2019-09-08",83
"2019-09-15",68
"2019-09-22",65
"2019-09-29",82
"2019-10-06",85
"2019-10-13",73
"2019-10-20",65
"2019-10-27",67
