"Time","CalFresh"
"2023-05-28",53
"2023-06-04",63
"2023-06-11",43
"2023-06-18",35
"2023-06-25",30
"2023-07-02",48
"2023-07-09",73
"2023-07-16",58
"2023-07-23",54
"2023-07-30",69
"2023-08-06",54
"2023-08-13",74
"2023-08-20",76
"2023-08-27",64
"2023-09-03",57
"2023-09-10",72
"2023-09-17",72
"2023-09-24",64
"2023-10-01",62
"2023-10-08",82
"2023-10-15",52
"2023-10-22",62
"2023-10-29",68
"2023-11-05",83
"2023-11-12",94
"2023-11-19",54
"2023-11-26",74
"2023-12-03",63
"2023-12-10",52
"2023-12-17",41
"2023-12-24",45
"2023-12-31",68
"2024-01-07",100
"2024-01-14",53
"2024-01-21",54
"2024-01-28",73
"2024-02-04",59
"2024-02-11",65
"2024-02-18",73
"2024-02-25",63
"2024-03-03",59
"2024-03-10",64
"2024-03-17",50
"2024-03-24",34
"2024-03-31",69
"2024-04-07",0
"2024-04-14",45
"2024-04-21",48
"2024-04-28",45
"2024-05-05",64
"2024-05-12",87
"2024-05-19",56
"2024-05-26",51
