"Time","CalFresh"
"2025-03-30",44
"2025-04-06",51
"2025-04-13",54
"2025-04-20",0
"2025-04-27",0
"2025-05-04",0
"2025-05-11",49
"2025-05-18",56
"2025-05-25",0
"2025-06-01",72
"2025-06-08",52
"2025-06-15",64
"2025-06-22",0
"2025-06-29",82
"2025-07-06",73
"2025-07-13",0
"2025-07-20",0
"2025-07-27",80
"2025-08-03",54
"2025-08-10",51
"2025-08-17",93
"2025-08-24",0
"2025-08-31",84
"2025-09-07",0
"2025-09-14",48
"2025-09-21",67
"2025-09-28",100
"2025-10-05",68
"2025-10-12",0
"2025-10-19",0
"2025-10-26",57
"2025-11-02",100
"2025-11-09",0
"2025-11-16",0
"2025-11-23",0
"2025-11-30",73
"2025-12-07",53
"2025-12-14",0
"2025-12-21",58
"2025-12-28",40
