"Time","CalFresh"
"2020-08-30",75
"2020-09-06",63
"2020-09-13",63
"2020-09-20",57
"2020-09-27",66
"2020-10-04",80
"2020-10-11",67
"2020-10-18",57
"2020-10-25",57
"2020-11-01",62
"2020-11-08",56
"2020-11-15",73
"2020-11-22",55
"2020-11-29",81
"2020-12-06",76
"2020-12-13",75
"2020-12-20",61
"2020-12-27",75
"2021-01-03",96
"2021-01-10",58
"2021-01-17",70
"2021-01-24",73
"2021-01-31",82
"2021-02-07",81
"2021-02-14",61
"2021-02-21",61
"2021-02-28",76
"2021-03-07",71
"2021-03-14",69
"2021-03-21",57
"2021-03-28",64
"2021-04-04",70
"2021-04-11",71
"2021-04-18",58
"2021-04-25",57
"2021-05-02",66
"2021-05-09",83
"2021-05-16",69
"2021-05-23",62
"2021-05-30",71
"2021-06-06",91
"2021-06-13",74
"2021-06-20",78
"2021-06-27",76
"2021-07-04",84
"2021-07-11",100
"2021-07-18",83
"2021-07-25",79
"2021-08-01",83
"2021-08-08",88
"2021-08-15",82
"2021-08-22",81
"2021-08-29",95
