"Time","CalFresh"
"2023-05-28",62
"2023-06-04",65
"2023-06-11",53
"2023-06-18",59
"2023-06-25",66
"2023-07-02",74
"2023-07-09",65
"2023-07-16",74
"2023-07-23",69
"2023-07-30",69
"2023-08-06",78
"2023-08-13",72
"2023-08-20",75
"2023-08-27",88
"2023-09-03",93
"2023-09-10",88
"2023-09-17",85
"2023-09-24",91
"2023-10-01",93
"2023-10-08",93
"2023-10-15",78
"2023-10-22",76
"2023-10-29",91
"2023-11-05",86
"2023-11-12",79
"2023-11-19",53
"2023-11-26",64
"2023-12-03",87
"2023-12-10",63
"2023-12-17",63
"2023-12-24",58
"2023-12-31",66
"2024-01-07",80
"2024-01-14",69
"2024-01-21",84
"2024-01-28",95
"2024-02-04",76
"2024-02-11",76
"2024-02-18",73
"2024-02-25",100
"2024-03-03",87
"2024-03-10",95
"2024-03-17",74
"2024-03-24",68
"2024-03-31",84
"2024-04-07",74
"2024-04-14",66
"2024-04-21",64
"2024-04-28",71
"2024-05-05",67
"2024-05-12",64
"2024-05-19",59
"2024-05-26",56
