"Time","Food bank"
"2017-01-01",32
"2017-01-08",24
"2017-01-15",42
"2017-01-22",47
"2017-01-29",40
"2017-02-05",37
"2017-02-12",32
"2017-02-19",35
"2017-02-26",44
"2017-03-05",42
"2017-03-12",40
"2017-03-19",39
"2017-03-26",43
"2017-04-02",36
"2017-04-09",39
"2017-04-16",43
"2017-04-23",37
"2017-04-30",49
"2017-05-07",51
"2017-05-14",36
"2017-05-21",46
"2017-05-28",44
"2017-06-04",37
"2017-06-11",35
"2017-06-18",39
"2017-06-25",50
"2017-07-02",34
"2017-07-09",40
"2017-07-16",36
"2017-07-23",42
"2017-07-30",47
"2017-08-06",37
"2017-08-13",33
"2017-08-20",40
"2017-08-27",56
"2017-09-03",43
"2017-09-10",48
"2017-09-17",36
"2017-09-24",54
"2017-10-01",45
"2017-10-08",100
"2017-10-15",89
"2017-10-22",77
"2017-10-29",72
"2017-11-05",81
"2017-11-12",94
"2017-11-19",78
"2017-11-26",78
"2017-12-03",60
"2017-12-10",69
"2017-12-17",62
"2017-12-24",54
"2017-12-31",48
