"Time","CalFresh"
"2018-10-28",0
"2018-11-04",27
"2018-11-11",0
"2018-11-18",0
"2018-11-25",25
"2018-12-02",32
"2018-12-09",0
"2018-12-16",0
"2018-12-23",0
"2018-12-30",41
"2019-01-06",42
"2019-01-13",51
"2019-01-20",39
"2019-01-27",25
"2019-02-03",26
"2019-02-10",34
"2019-02-17",0
"2019-02-24",45
"2019-03-03",39
"2019-03-10",48
"2019-03-17",30
"2019-03-24",0
"2019-03-31",50
"2019-04-07",38
"2019-04-14",35
"2019-04-21",37
"2019-04-28",44
"2019-05-05",0
"2019-05-12",26
"2019-05-19",27
"2019-05-26",26
"2019-06-02",43
"2019-06-09",32
"2019-06-16",0
"2019-06-23",0
"2019-06-30",0
"2019-07-07",0
"2019-07-14",0
"2019-07-21",30
"2019-07-28",0
"2019-08-04",56
"2019-08-11",30
"2019-08-18",34
"2019-08-25",33
"2019-09-01",0
"2019-09-08",57
"2019-09-15",25
"2019-09-22",91
"2019-09-29",100
"2019-10-06",64
"2019-10-13",36
"2019-10-20",35
"2019-10-27",27
