"Time","snap topic"
"2022-06-26","56"
"2022-07-03","44"
"2022-07-10","96"
"2022-07-17","58"
"2022-07-24","50"
"2022-07-31","51"
"2022-08-07","71"
"2022-08-14","73"
"2022-08-21","51"
"2022-08-28","61"
"2022-09-04","62"
"2022-09-11","55"
"2022-09-18","58"
"2022-09-25","73"
"2022-10-02","90"
"2022-10-09","100"
"2022-10-16","62"
"2022-10-23","48"
"2022-10-30","65"
"2022-11-06","55"
"2022-11-13","77"
"2022-11-20","95"
"2022-11-27","60"
"2022-12-04","49"
"2022-12-11","69"
"2022-12-18","58"
"2022-12-25","43"
"2023-01-01","54"
"2023-01-08","71"
"2023-01-15","58"
"2023-01-22","57"
"2023-01-29","57"
"2023-02-05","85"
"2023-02-12","45"
"2023-02-19","28"
"2023-02-26","42"
"2023-03-05","44"
"2023-03-12","51"
"2023-03-19","78"
"2023-03-26","49"
"2023-04-02","66"
"2023-04-09","45"
"2023-04-16","45"
"2023-04-23","51"
"2023-04-30","42"
"2023-05-07","39"
"2023-05-14","48"
"2023-05-21","45"
"2023-05-28","55"
"2023-06-04","58"
"2023-06-11","36"
"2023-06-18","48"
"2023-06-25","43"
