"Time","snap topic"
"2017-11-26","0"
"2017-12-03","68"
"2017-12-10","0"
"2017-12-17","0"
"2017-12-24","94"
"2017-12-31","83"
"2018-01-07","88"
"2018-01-14","0"
"2018-01-21","0"
"2018-01-28","66"
"2018-02-04","100"
"2018-02-11","90"
"2018-02-18","73"
"2018-02-25","62"
"2018-03-04","61"
"2018-03-11","66"
"2018-03-18","0"
"2018-03-25","0"
"2018-04-01","71"
"2018-04-08","74"
"2018-04-15","0"
"2018-04-22","0"
"2018-04-29","76"
"2018-05-06","65"
"2018-05-13","88"
"2018-05-20","0"
"2018-05-27","0"
"2018-06-03","0"
"2018-06-10","0"
"2018-06-17","0"
"2018-06-24","0"
"2018-07-01","0"
"2018-07-08","86"
"2018-07-15","0"
"2018-07-22","0"
"2018-07-29","0"
"2018-08-05","0"
"2018-08-12","0"
"2018-08-19","0"
"2018-08-26","0"
"2018-09-02","75"
"2018-09-09","0"
"2018-09-16","0"
"2018-09-23","0"
"2018-09-30","0"
"2018-10-07","82"
"2018-10-14","0"
"2018-10-21","0"
"2018-10-28","0"
"2018-11-04","92"
"2018-11-11","0"
"2018-11-18","0"
"2018-11-25","0"
