"Time","snap topic"
"2017-11-26","50"
"2017-12-03","60"
"2017-12-10","46"
"2017-12-17","40"
"2017-12-24","38"
"2017-12-31","70"
"2018-01-07","58"
"2018-01-14","51"
"2018-01-21","48"
"2018-01-28","70"
"2018-02-04","55"
"2018-02-11","100"
"2018-02-18","63"
"2018-02-25","54"
"2018-03-04","53"
"2018-03-11","48"
"2018-03-18","47"
"2018-03-25","49"
"2018-04-01","60"
"2018-04-08","64"
"2018-04-15","41"
"2018-04-22","46"
"2018-04-29","47"
"2018-05-06","66"
"2018-05-13","51"
"2018-05-20","61"
"2018-05-27","46"
"2018-06-03","63"
"2018-06-10","50"
"2018-06-17","60"
"2018-06-24","61"
"2018-07-01","60"
"2018-07-08","54"
"2018-07-15","38"
"2018-07-22","54"
"2018-07-29","60"
"2018-08-05","87"
"2018-08-12","58"
"2018-08-19","47"
"2018-08-26","45"
"2018-09-02","44"
"2018-09-09","44"
"2018-09-16","46"
"2018-09-23","46"
"2018-09-30","47"
"2018-10-07","53"
"2018-10-14","40"
"2018-10-21","39"
"2018-10-28","45"
"2018-11-04","47"
"2018-11-11","49"
"2018-11-18","40"
"2018-11-25","53"
