"Time","snap topic"
"2022-06-26","73"
"2022-07-03","80"
"2022-07-10","90"
"2022-07-17","85"
"2022-07-24","70"
"2022-07-31","73"
"2022-08-07","76"
"2022-08-14","68"
"2022-08-21","66"
"2022-08-28","64"
"2022-09-04","80"
"2022-09-11","74"
"2022-09-18","81"
"2022-09-25","80"
"2022-10-02","89"
"2022-10-09","95"
"2022-10-16","89"
"2022-10-23","64"
"2022-10-30","65"
"2022-11-06","70"
"2022-11-13","100"
"2022-11-20","96"
"2022-11-27","72"
"2022-12-04","67"
"2022-12-11","74"
"2022-12-18","67"
"2022-12-25","58"
"2023-01-01","84"
"2023-01-08","79"
"2023-01-15","81"
"2023-01-22","69"
"2023-01-29","80"
"2023-02-05","83"
"2023-02-12","66"
"2023-02-19","59"
"2023-02-26","83"
"2023-03-05","78"
"2023-03-12","63"
"2023-03-19","78"
"2023-03-26","66"
"2023-04-02","65"
"2023-04-09","59"
"2023-04-16","59"
"2023-04-23","60"
"2023-04-30","61"
"2023-05-07","58"
"2023-05-14","65"
"2023-05-21","56"
"2023-05-28","70"
"2023-06-04","68"
"2023-06-11","58"
"2023-06-18","54"
"2023-06-25","66"
