"Time","snap topic"
"2017-11-26","61"
"2017-12-03","88"
"2017-12-10","51"
"2017-12-17","87"
"2017-12-24","0"
"2017-12-31","100"
"2018-01-07","63"
"2018-01-14","0"
"2018-01-21","49"
"2018-01-28","67"
"2018-02-04","53"
"2018-02-11","63"
"2018-02-18","30"
"2018-02-25","46"
"2018-03-04","61"
"2018-03-11","56"
"2018-03-18","45"
"2018-03-25","0"
"2018-04-01","63"
"2018-04-08","51"
"2018-04-15","50"
"2018-04-22","63"
"2018-04-29","50"
"2018-05-06","63"
"2018-05-13","62"
"2018-05-20","32"
"2018-05-27","42"
"2018-06-03","68"
"2018-06-10","48"
"2018-06-17","0"
"2018-06-24","89"
"2018-07-01","68"
"2018-07-08","68"
"2018-07-15","59"
"2018-07-22","46"
"2018-07-29","67"
"2018-08-05","52"
"2018-08-12","0"
"2018-08-19","44"
"2018-08-26","43"
"2018-09-02","65"
"2018-09-09","48"
"2018-09-16","66"
"2018-09-23","61"
"2018-09-30","62"
"2018-10-07","52"
"2018-10-14","45"
"2018-10-21","31"
"2018-10-28","50"
"2018-11-04","53"
"2018-11-11","59"
"2018-11-18","35"
"2018-11-25","47"
