"Time","snap topic"
"2022-06-26","43"
"2022-07-03","61"
"2022-07-10","51"
"2022-07-17","64"
"2022-07-24","46"
"2022-07-31","54"
"2022-08-07","49"
"2022-08-14","0"
"2022-08-21","57"
"2022-08-28","49"
"2022-09-04","77"
"2022-09-11","55"
"2022-09-18","57"
"2022-09-25","0"
"2022-10-02","100"
"2022-10-09","46"
"2022-10-16","84"
"2022-10-23","49"
"2022-10-30","50"
"2022-11-06","65"
"2022-11-13","89"
"2022-11-20","0"
"2022-11-27","70"
"2022-12-04","83"
"2022-12-11","67"
"2022-12-18","0"
"2022-12-25","60"
"2023-01-01","49"
"2023-01-08","69"
"2023-01-15","59"
"2023-01-22","40"
"2023-01-29","50"
"2023-02-05","60"
"2023-02-12","40"
"2023-02-19","40"
"2023-02-26","41"
"2023-03-05","0"
"2023-03-12","0"
"2023-03-19","51"
"2023-03-26","0"
"2023-04-02","54"
"2023-04-09","57"
"2023-04-16","53"
"2023-04-23","45"
"2023-04-30","50"
"2023-05-07","0"
"2023-05-14","46"
"2023-05-21","34"
"2023-05-28","58"
"2023-06-04","46"
"2023-06-11","51"
"2023-06-18","50"
"2023-06-25","38"
