"Time","snap topic"
"2023-05-28","63"
"2023-06-04","62"
"2023-06-11","0"
"2023-06-18","0"
"2023-06-25","0"
"2023-07-02","75"
"2023-07-09","79"
"2023-07-16","100"
"2023-07-23","76"
"2023-07-30","74"
"2023-08-06","81"
"2023-08-13","0"
"2023-08-20","0"
"2023-08-27","0"
"2023-09-03","64"
"2023-09-10","0"
"2023-09-17","69"
"2023-09-24","0"
"2023-10-01","60"
"2023-10-08","74"
"2023-10-15","78"
"2023-10-22","0"
"2023-10-29","71"
"2023-11-05","59"
"2023-11-12","91"
"2023-11-19","0"
"2023-11-26","0"
"2023-12-03","54"
"2023-12-10","0"
"2023-12-17","0"
"2023-12-24","69"
"2023-12-31","70"
"2024-01-07","0"
"2024-01-14","0"
"2024-01-21","63"
"2024-01-28","89"
"2024-02-04","0"
"2024-02-11","0"
"2024-02-18","0"
"2024-02-25","0"
"2024-03-03","0"
"2024-03-10","0"
"2024-03-17","0"
"2024-03-24","89"
"2024-03-31","0"
"2024-04-07","0"
"2024-04-14","0"
"2024-04-21","84"
"2024-04-28","0"
"2024-05-05","86"
"2024-05-12","0"
"2024-05-19","67"
"2024-05-26","0"
