"Time","snap topic"
"2017-11-26","47"
"2017-12-03","51"
"2017-12-10","50"
"2017-12-17","35"
"2017-12-24","0"
"2017-12-31","70"
"2018-01-07","0"
"2018-01-14","46"
"2018-01-21","0"
"2018-01-28","58"
"2018-02-04","42"
"2018-02-11","32"
"2018-02-18","45"
"2018-02-25","84"
"2018-03-04","37"
"2018-03-11","46"
"2018-03-18","0"
"2018-03-25","0"
"2018-04-01","41"
"2018-04-08","48"
"2018-04-15","0"
"2018-04-22","0"
"2018-04-29","100"
"2018-05-06","58"
"2018-05-13","42"
"2018-05-20","0"
"2018-05-27","61"
"2018-06-03","47"
"2018-06-10","48"
"2018-06-17","38"
"2018-06-24","58"
"2018-07-01","66"
"2018-07-08","53"
"2018-07-15","0"
"2018-07-22","0"
"2018-07-29","37"
"2018-08-05","41"
"2018-08-12","57"
"2018-08-19","39"
"2018-08-26","52"
"2018-09-02","41"
"2018-09-09","45"
"2018-09-16","39"
"2018-09-23","0"
"2018-09-30","40"
"2018-10-07","44"
"2018-10-14","0"
"2018-10-21","0"
"2018-10-28","68"
"2018-11-04","55"
"2018-11-11","0"
"2018-11-18","45"
"2018-11-25","55"
