"Time","snap topic"
"2017-11-26","51"
"2017-12-03","69"
"2017-12-10","58"
"2017-12-17","47"
"2017-12-24","40"
"2017-12-31","58"
"2018-01-07","67"
"2018-01-14","53"
"2018-01-21","55"
"2018-01-28","67"
"2018-02-04","70"
"2018-02-11","100"
"2018-02-18","63"
"2018-02-25","48"
"2018-03-04","46"
"2018-03-11","63"
"2018-03-18","58"
"2018-03-25","48"
"2018-04-01","58"
"2018-04-08","53"
"2018-04-15","56"
"2018-04-22","54"
"2018-04-29","52"
"2018-05-06","57"
"2018-05-13","57"
"2018-05-20","55"
"2018-05-27","47"
"2018-06-03","52"
"2018-06-10","53"
"2018-06-17","86"
"2018-06-24","52"
"2018-07-01","70"
"2018-07-08","67"
"2018-07-15","34"
"2018-07-22","53"
"2018-07-29","59"
"2018-08-05","67"
"2018-08-12","52"
"2018-08-19","48"
"2018-08-26","49"
"2018-09-02","52"
"2018-09-09","45"
"2018-09-16","50"
"2018-09-23","52"
"2018-09-30","59"
"2018-10-07","68"
"2018-10-14","48"
"2018-10-21","50"
"2018-10-28","43"
"2018-11-04","51"
"2018-11-11","47"
"2018-11-18","37"
"2018-11-25","46"
