"Time","snap topic"
"2023-05-28","94"
"2023-06-04","74"
"2023-06-11","72"
"2023-06-18","52"
"2023-06-25","72"
"2023-07-02","78"
"2023-07-09","71"
"2023-07-16","61"
"2023-07-23","64"
"2023-07-30","75"
"2023-08-06","73"
"2023-08-13","80"
"2023-08-20","73"
"2023-08-27","78"
"2023-09-03","82"
"2023-09-10","100"
"2023-09-17","71"
"2023-09-24","97"
"2023-10-01","79"
"2023-10-08","61"
"2023-10-15","61"
"2023-10-22","67"
"2023-10-29","69"
"2023-11-05","56"
"2023-11-12","62"
"2023-11-19","56"
"2023-11-26","63"
"2023-12-03","73"
"2023-12-10","55"
"2023-12-17","60"
"2023-12-24","50"
"2023-12-31","76"
"2024-01-07","69"
"2024-01-14","61"
"2024-01-21","65"
"2024-01-28","74"
"2024-02-04","71"
"2024-02-11","63"
"2024-02-18","65"
"2024-02-25","69"
"2024-03-03","76"
"2024-03-10","56"
"2024-03-17","71"
"2024-03-24","87"
"2024-03-31","72"
"2024-04-07","55"
"2024-04-14","65"
"2024-04-21","52"
"2024-04-28","48"
"2024-05-05","43"
"2024-05-12","58"
"2024-05-19","59"
"2024-05-26","64"
