"Time","snap topic"
"2022-06-26","48"
"2022-07-03","0"
"2022-07-10","0"
"2022-07-17","78"
"2022-07-24","91"
"2022-07-31","52"
"2022-08-07","82"
"2022-08-14","84"
"2022-08-21","100"
"2022-08-28","52"
"2022-09-04","74"
"2022-09-11","54"
"2022-09-18","44"
"2022-09-25","0"
"2022-10-02","45"
"2022-10-09","69"
"2022-10-16","82"
"2022-10-23","57"
"2022-10-30","43"
"2022-11-06","80"
"2022-11-13","79"
"2022-11-20","54"
"2022-11-27","0"
"2022-12-04","62"
"2022-12-11","73"
"2022-12-18","49"
"2022-12-25","58"
"2023-01-01","45"
"2023-01-08","85"
"2023-01-15","61"
"2023-01-22","71"
"2023-01-29","62"
"2023-02-05","81"
"2023-02-12","71"
"2023-02-19","58"
"2023-02-26","70"
"2023-03-05","74"
"2023-03-12","63"
"2023-03-19","48"
"2023-03-26","0"
"2023-04-02","76"
"2023-04-09","56"
"2023-04-16","65"
"2023-04-23","77"
"2023-04-30","44"
"2023-05-07","53"
"2023-05-14","70"
"2023-05-21","47"
"2023-05-28","48"
"2023-06-04","82"
"2023-06-11","60"
"2023-06-18","66"
"2023-06-25","46"
