"Time","snap topic"
"2024-04-28","0"
"2024-05-05","36"
"2024-05-12","58"
"2024-05-19","0"
"2024-05-26","41"
"2024-06-02","0"
"2024-06-09","57"
"2024-06-16","50"
"2024-06-23","41"
"2024-06-30","0"
"2024-07-07","0"
"2024-07-14","0"
"2024-07-21","53"
"2024-07-28","69"
"2024-08-04","53"
"2024-08-11","36"
"2024-08-18","51"
"2024-08-25","51"
"2024-09-01","43"
"2024-09-08","49"
"2024-09-15","0"
"2024-09-22","47"
"2024-09-29","61"
"2024-10-06","52"
"2024-10-13","0"
"2024-10-20","0"
"2024-10-27","34"
"2024-11-03","35"
"2024-11-10","41"
"2024-11-17","35"
"2024-11-24","0"
"2024-12-01","51"
"2024-12-08","36"
"2024-12-15","0"
"2024-12-22","0"
"2024-12-29","40"
"2025-01-05","43"
"2025-01-12","0"
"2025-01-19","0"
"2025-01-26","100"
"2025-02-02","32"
"2025-02-09","0"
"2025-02-16","0"
"2025-02-23","0"
"2025-03-02","37"
"2025-03-09","56"
"2025-03-16","34"
"2025-03-23","0"
"2025-03-30","60"
"2025-04-06","47"
"2025-04-13","0"
"2025-04-20","0"
"2025-04-27","46"
